id,description,hierarchy_levels,type
000f1d3d-220f-4789-9c0a-cc742521fb02,Haskell,"[['K', 'K06', 'K061', 'K0613']]",preferredLabel
00506f28-e884-4496-800c-3477c67eb355,sport and exercise medicine,"[['K', 'K09', 'K091', 'K0912']]",preferredLabel
00920055-eb50-4cb8-a23d-3deedbf3753e,enterprise risk management,"[['K', 'K04', 'K041', 'K0413']]",preferredLabel
00c04e40-35ea-4ed1-824c-82f936c8f876,Incremental development,"[['K', 'K04', 'K041', 'K0413'], ['K', 'K06', 'K061', 'K0613']]",preferredLabel
00c51318-4ea9-4d37-9cd8-74680583d203,use of special equipment for daily activities,"[['K', 'K09', 'K091', 'K0915']]",preferredLabel
00c85cbc-2b24-4605-a6fe-55b5c615e3fe,sawing techniques,"[['K', 'K07', 'K072', 'K0722']]",preferredLabel
00eefa32-9f77-4500-abe9-20afc7924a9d,cold vulcanisation,"[['K', 'K07', 'K071', 'K0711']]",preferredLabel
0132ac4f-ffac-4396-8b56-052fde0c9d73,types of barley,"[['K', 'K07', 'K072', 'K0721']]",preferredLabel
013441c1-1f13-47e9-80c4-9a53e8e1bc05,KDevelop,"[['K', 'K06', 'K061', 'K0612']]",preferredLabel
0189f448-179e-47cc-9716-c5c3ac4b1aec,Absorb (learning management systems),"[['K', 'K06', 'K061', 'K0612'], ['K', 'K04', 'K041', 'K0413']]",preferredLabel
0196d283-9b1a-43a5-b219-43580c7cf560,cosmetics ingredients,"[['K', 'K10', 'K101', 'K1012']]",preferredLabel
01a6e6ae-32d5-440a-bdb3-c9ed8a1f57c0,human dynamics as part of hospitality security,"[['K', 'K10', 'K103', 'K1032']]",preferredLabel
01d80f57-3906-44e9-8592-fd1bd8a35808,medico-biological and medical sciences related to dentistry,"[['K', 'K09', 'K091', 'K0911']]",preferredLabel
01e66e1c-97d9-4829-bee1-f3ab649161e8,biomedical science,"[['K', 'K07', 'K071', 'K0711'], ['K', 'K05', 'K051', 'K0512']]",preferredLabel
02137a68-6860-45e8-8e4d-38db467bb8b6,human factors regarding safety,"[['K', 'K10', 'K102', 'K1022']]",preferredLabel
0227a4f4-f979-4e5a-bd11-93744f339246,types of digesters,"[['K', 'K05', 'K053', 'K0531']]",preferredLabel
023f4870-b417-4bd2-b0ae-78e61587c79f,geomatics,"[['K', 'K05', 'K053', 'K0532']]",preferredLabel
023faef3-0633-436d-8b91-389c45c1421c,contamination exposure regulations,"[['K', 'K10', 'K102', 'K1021']]",preferredLabel
024037ca-96a9-4cb8-ba86-2cd5a209c90a,Maltego,"[['K', 'K06', 'K061', 'K0613']]",preferredLabel
027f47ba-2435-47dc-9fd3-5f05c6a52e93,styles of boxes,"[['K', 'K07', 'K072', 'K0722']]",preferredLabel
02bf9522-bd6e-4482-be03-1827483be21a,first aid for animals,"[['K', 'K08', 'K084', 'K0841']]",preferredLabel
02c71cde-f513-43da-8952-0974763c7568,circuit diagrams,"[['K', 'K06', 'K061', 'K0612']]",preferredLabel
02e1ca57-0715-438b-886d-f0f938ac3efc,sand blasting machine parts,"[['K', 'K06', 'K061', 'K0612']]",preferredLabel
03006fd3-254f-44bc-aa8f-dfe1c727463e,cardiovascular system,"[['K', 'K09', 'K091', 'K0912']]",preferredLabel
0302f93a-0d38-4c00-bc37-eda17b6316ea,biosecurity related to animals,"[['K', 'K09', 'K091', 'K0912'], ['K', 'K08', 'K084', 'K0841']]",preferredLabel
032b0bed-22b1-456b-8009-91e6b838fe45,geological mapping,"[['K', 'K05', 'K053', 'K0532']]",preferredLabel
034c29fa-c3ba-45ea-b8f3-bf8e3705e386,Erlang,"[['K', 'K06', 'K061', 'K0613']]",preferredLabel
035afc40-e8fc-448f-b287-1a973fb5aa93,manufacturing of taps and valves,"[['K', 'K10', 'K102', 'K1021']]",preferredLabel
038a6d0f-787f-4f71-aac6-bd54e16c57cf,history of tobacco,"[['K', 'K02', 'K022', 'K0222']]",preferredLabel
03d8e93a-861a-45d3-a2d6-80781d6af1c9,hair cutting techniques,"[['K', 'K10', 'K101', 'K1012']]",preferredLabel
03f922b0-d518-457d-8f2c-80252a714be1,criminology,"[['K', 'K03', 'K031', 'K0314']]",preferredLabel
03ff0d53-573a-47a0-a0ad-1995815a4339,information structure,"[['K', 'K06', 'K061', 'K0612']]",preferredLabel
04012dd1-478d-4eec-9951-dd623bfe86ca,climate smart agriculture,"[['K', 'K08', 'K081', 'K0811']]",preferredLabel
0435fe96-523f-4888-a76f-22df1e92d9c4,photogrammetry,"[['K', 'K07', 'K073', 'K0731']]",preferredLabel
